GeneID	Length	Control-1	Control-2	Control-3	Cys247X.AS-1	Cys247X.AS-2	Cys247X.AS-3	Cys247X-1	Cys247X-2	Cys247X-3
ENSG00000224160	198	0	0	0	0	0	0	0	0	0
ENSG00000244528	183	2	0	2	1	0	1	0	0	1
ENSG00000271153	454	15	9	7	4	3	9	3	6	4
ENSG00000223587	2018	0	0	0	0	0	0	0	0	0
ENSG00000224918	399	0	0	0	0	0	0	0	0	0
ENSG00000224318	3868	2	0	0	0	0	0	0	0	0
ENSG00000287140	4047	0	0	0	0	0	0	0	0	0
ENSG00000134121	11694	1727	201	669	2	1	4	138	392	299
ENSG00000252017	104	0	0	0	0	0	0	0	0	0
ENSG00000231660	609	0	0	0	0	0	0	0	0	0
ENSG00000234661	1149	0	0	0	0	0	0	0	0	0
ENSG00000287505	2197	0	0	0	0	0	0	0	0	0
ENSG00000224957	11853	629	316	365	0	0	0	72	247	158
ENSG00000238075	526	0	0	0	0	0	0	0	0	0
ENSG00000224239	497	151	107	108	0	0	0	13	52	34
ENSG00000235158	3699	0	1	0	0	0	0	0	0	0
ENSG00000244169	296	0	0	0	0	0	0	0	0	0
ENSG00000134115	5507	7727	2652	4060	61	159	0	4392	3424	1956
ENSG00000232563	276	0	0	0	0	0	0	0	0	0
ENSG00000184423	469	0	0	0	0	0	1	0	0	0
ENSG00000214074	405	0	0	0	0	0	0	0	0	0
ENSG00000214073	475	0	1	0	0	0	0	0	0	0
ENSG00000225044	357	0	0	0	0	0	0	0	0	0
ENSG00000223040	279	0	0	0	0	0	0	1	0	0
ENSG00000144619	9123	1425	546	758	145	424	1	971	591	610
ENSG00000227588	426	0	0	0	0	0	0	0	0	0
ENSG00000286363	1001	3	0	0	0	1	0	1	1	0
ENSG00000230398	481	0	0	0	0	0	0	0	0	0
ENSG00000225310	345	0	0	0	0	0	0	0	0	0
ENSG00000237990	2078	1	1	0	0	1	0	0	0	0
ENSG00000091181	6600	36	5	14	23	95	17	52	258	121
ENSG00000253049	103	0	0	0	0	0	0	0	0	0
ENSG00000072756	5802	2290	987	1341	518	718	703	918	1373	1642
ENSG00000113851	8068	6921	2330	2961	2055	2321	3160	3030	2756	3345
ENSG00000271870	494	153	92	100	26	46	141	52	106	110
ENSG00000223727	1337	23	6	14	6	6	20	13	29	35
ENSG00000144455	6944	3050	786	890	1093	1269	1800	1327	1289	1293
ENSG00000175928	6401	47884	15526	17819	9566	14127	13995	13895	19525	19105
ENSG00000287720	2198	164	47	68	35	45	56	48	77	55
ENSG00000229241	2315	5	4	4	1	4	5	2	4	4
ENSG00000286579	1253	10	2	3	0	5	2	4	18	11
ENSG00000170364	3567	5932	2636	2875	1671	1926	2871	1722	1943	2379
ENSG00000234325	381	0	0	0	0	1	0	0	0	0
ENSG00000231249	858	84	50	60	26	70	66	68	45	65
ENSG00000150995	32454	22559	5765	7000	4450	3069	2129	3393	6524	7053
ENSG00000235947	1464	4	4	2	2	4	3	2	11	2
ENSG00000275981	353	0	0	0	0	0	0	1	0	0
ENSG00000235978	1251	9	5	7	2	7	6	6	5	8
ENSG00000235831	5367	47	25	21	11	26	27	12	43	45
ENSG00000134107	3516	11496	8705	2924	4274	1685	7395	2825	5844	8329
ENSG00000230182	369	0	0	1	0	0	0	0	0	0
ENSG00000224082	2112	0	0	0	0	0	0	0	0	0
ENSG00000207283	102	0	0	0	0	0	0	0	0	0
ENSG00000237566	235	0	0	0	0	0	0	0	0	0
ENSG00000134108	3551	10970	3698	4836	3000	3530	4068	5123	4948	5614
ENSG00000233912	672	10	3	1	2	1	3	0	1	2
ENSG00000268509	1127	3	0	0	0	0	0	0	0	0
ENSG00000134109	6737	3461	1246	1562	991	1048	1231	1731	1590	2134
ENSG00000265180	79	0	0	0	0	0	0	0	0	0
ENSG00000241227	298	0	0	0	0	0	0	0	0	0
ENSG00000230944	585	0	0	0	0	0	0	0	0	0
ENSG00000229642	467	3	2	3	0	0	2	1	0	0
ENSG00000226022	299	0	0	0	0	0	0	0	0	0
ENSG00000232958	241	0	0	0	0	0	0	0	0	0
ENSG00000189229	6375	1255	564	667	97	10	1	505	331	1023
ENSG00000226258	3685	0	0	0	0	0	0	0	0	1
ENSG00000223719	432	10	21	19	0	0	0	10	7	29
ENSG00000196277	8214	43	14	39	14	27	29	21	27	39
ENSG00000236152	307	1	0	2	1	0	1	1	0	0
ENSG00000237665	520	0	0	0	0	0	0	0	0	0
ENSG00000288030	1851	0	0	0	0	0	0	0	0	0
ENSG00000236202	507	0	0	0	0	0	0	0	0	0
ENSG00000270207	4594	10	1	2	0	1	0	0	2	0
ENSG00000227110	11257	199	56	71	54	73	84	19	78	47
ENSG00000228351	1319	0	0	0	0	0	0	0	0	0
ENSG00000231401	2616	2	3	0	0	1	0	0	3	1
ENSG00000253081	120	0	0	0	0	0	0	0	0	0
ENSG00000071282	9025	1788	376	537	730	919	783	191	545	524
ENSG00000224884	561	1	1	0	1	1	0	0	0	0
ENSG00000125046	6279	4	8	3	7	3	5	4	7	15
ENSG00000215160	6210	0	0	0	0	0	0	0	0	0
ENSG00000182533	1956	3	1	1	2	3	16	1	4	2
ENSG00000180914	4514	1187	406	561	418	413	154	629	1093	2236
ENSG00000070950	6984	1237	509	644	468	436	528	632	801	1266
ENSG00000281863	138	0	0	0	0	0	0	0	0	0
ENSG00000199815	126	0	0	0	0	0	0	0	0	0
ENSG00000196220	18924	6271	2854	3344	2277	1799	2394	2647	1951	3546
ENSG00000224808	428	0	0	1	1	0	0	0	0	0
ENSG00000287623	2594	0	0	0	0	0	0	0	0	0
ENSG00000228723	1439	0	0	0	1	3	0	0	1	0
ENSG00000227929	1223	0	0	0	0	0	0	0	0	0
ENSG00000235830	457	3	0	4	1	0	9	2	2	7
ENSG00000254485	1649	62	33	28	12	12	21	9	4	14
ENSG00000214041	750	0	0	1	0	0	0	0	0	0
ENSG00000206573	9533	2439	899	1293	590	1033	899	982	1163	1163
ENSG00000134077	5236	8402	2724	3234	2161	2291	2511	2429	3113	3282
ENSG00000168137	12378	25340	9103	9783	8977	7692	7893	10703	9912	13525
ENSG00000156959	5349	21	8	44	84	7	26	0	31	12
ENSG00000235338	1033	0	0	1	0	0	0	1	0	0
ENSG00000163719	6019	7268	2065	2563	2056	1973	2537	2022	2551	2409
ENSG00000287878	2106	10	2	7	1	3	1	2	4	0
ENSG00000144550	2316	33	3	5	11	3	18	5	17	5
ENSG00000156983	6099	3307	1356	1691	1331	1261	1486	1334	1617	1797
ENSG00000114026	8733	3017	996	1475	1190	1271	1930	1116	1341	1577
ENSG00000134072	2715	2467	773	839	628	871	1209	872	862	1038
ENSG00000171148	4234	11499	3790	4491	4316	4700	6028	5259	3941	5343
ENSG00000241553	3608	7255	2063	2764	2614	2495	3271	2303	2517	2681
ENSG00000250151	2765	40	26	25	18	26	13	23	16	46
ENSG00000214021	10404	5211	2535	3450	963	1983	2707	2360	3327	4561
ENSG00000269886	336	32	21	22	14	11	29	18	12	15
ENSG00000156990	5348	2423	986	982	733	627	1171	665	817	1117
ENSG00000187288	1926	2	0	2	0	0	0	0	0	0
ENSG00000171135	1779	4469	1362	1653	1409	1432	2224	1214	1373	1418
ENSG00000163701	4673	1762	241	680	533	485	458	356	234	336
ENSG00000163702	4540	4133	1242	1364	1632	1793	2579	1136	1159	1198
ENSG00000212327	103	0	0	0	0	0	0	0	0	0
ENSG00000163703	3778	6756	2577	2557	1776	1744	3283	1374	1531	2133
ENSG00000269894	553	23	12	21	2	3	9	17	25	34
ENSG00000163704	3953	1917	515	654	639	503	702	349	511	428
ENSG00000230082	614	31	8	10	6	16	21	6	13	22
ENSG00000269982	3823	29	28	24	9	9	11	9	24	40
ENSG00000125037	4270	8865	2769	3361	2733	2510	3773	2646	3758	3230
ENSG00000180385	3714	241	107	112	92	81	76	172	123	207
ENSG00000232901	294	3	2	4	4	2	1	4	1	3
ENSG00000206567	4823	234	71	84	65	113	114	88	108	132
ENSG00000186162	3017	765	248	338	321	296	513	234	405	327
ENSG00000144554	8378	1277	539	714	615	455	380	503	566	1794
ENSG00000201182	104	0	0	0	0	0	0	0	0	0
ENSG00000229217	315	0	0	0	0	0	0	0	0	1
ENSG00000163705	1919	0	0	1	0	0	0	0	0	0
ENSG00000254999	1150	19249	5424	6629	6783	6913	9315	6387	6170	6892
ENSG00000134086	4213	7885	2337	3027	2632	2871	2460	3652	2408	3669
ENSG00000287086	1173	1	2	1	3	1	1	1	0	1
ENSG00000134070	3431	510	142	138	125	271	220	92	248	217
ENSG00000157014	5572	4084	1379	1436	1533	1659	2496	1560	1528	1559
ENSG00000272410	2977	0	0	0	0	0	0	0	0	0
ENSG00000231177	1328	102	42	34	30	35	85	43	63	71
ENSG00000157017	2073	80	28	24	16	26	28	20	39	37
ENSG00000240288	3166	123	147	73	28	58	129	77	48	152
ENSG00000276678	70	0	0	0	0	0	1	0	0	0
ENSG00000157020	5380	18053	5427	6246	6272	5296	7247	5074	7356	7026
ENSG00000157087	10260	2071	802	713	252	585	1870	21	1123	292
ENSG00000264534	57	0	0	0	0	0	0	0	3	0
ENSG00000216135	74	0	0	0	0	0	0	0	0	0
ENSG00000236999	472	1	0	0	0	0	0	0	0	0
ENSG00000224771	866	5	4	0	0	2	2	0	6	1
ENSG00000226567	3179	0	0	0	0	0	0	0	0	0
ENSG00000230599	452	0	0	0	0	0	0	0	0	0
ENSG00000132164	6680	32	10	11	22	4	27	0	3	0
ENSG00000286962	1527	12	0	2	2	5	1	1	1	0
ENSG00000157103	18242	238	9	21	29	12	41	1	36	20
ENSG00000232287	584	0	0	0	0	0	1	0	0	0
ENSG00000287964	2132	0	0	0	0	0	0	0	0	0
ENSG00000196639	5546	304	23	51	35	73	25	74	44	42
ENSG00000285906	1000	2	0	0	0	0	0	0	1	0
ENSG00000213964	327	2	0	1	0	0	0	2	1	1
ENSG00000197548	8833	2602	935	1195	858	854	1296	859	994	1109
ENSG00000226621	258	0	0	0	0	0	0	0	3	0
ENSG00000235240	174	0	0	0	0	0	0	0	0	0
ENSG00000270531	268	1	0	0	0	0	0	0	0	1
ENSG00000144560	7228	34970	11678	12933	9628	9021	12759	10129	9220	11088
ENSG00000271716	580	3	0	1	0	1	0	0	1	0
ENSG00000272483	596	15	2	7	6	12	4	1	8	11
ENSG00000144559	5925	967	378	482	339	329	500	331	451	618
ENSG00000230342	1400	0	0	1	0	0	0	0	0	0
ENSG00000224263	300	0	0	0	0	0	0	0	0	0
ENSG00000225275	282	0	0	0	0	0	0	0	0	0
ENSG00000231897	628	0	0	0	0	0	0	0	0	0
ENSG00000251038	351	0	0	0	0	0	0	0	0	0
ENSG00000263988	298	0	0	0	0	0	0	0	0	0
ENSG00000157152	6329	1369	421	595	776	557	1929	1254	345	481
ENSG00000226642	1166	2	1	1	0	0	1	0	0	2
ENSG00000157150	1194	27	2	12	9	16	33	4	94	24
ENSG00000233026	344	0	0	0	0	0	0	0	0	0
ENSG00000236062	660	0	0	1	0	0	0	0	0	0
ENSG00000132170	4545	418	73	149	135	143	148	172	359	224
ENSG00000225026	272	1	1	0	0	0	0	0	4	0
ENSG00000154743	5667	2464	863	1206	733	704	938	903	1137	1234
ENSG00000200114	119	0	0	0	0	0	0	0	0	0
ENSG00000251774	102	8	2	3	0	0	0	6	2	7
ENSG00000225526	1829	4	0	1	1	1	2	0	0	0
ENSG00000075975	2775	8337	2477	3299	3227	2897	3064	2873	2958	3264
ENSG00000274514	277	0	1	0	0	0	0	0	0	0
ENSG00000132155	7847	22151	7239	8649	7172	7462	8159	7569	7857	9616
ENSG00000233252	185	0	0	0	0	0	0	0	0	0
ENSG00000088726	3297	14	0	4	4	5	4	0	7	8
ENSG00000213943	1279	8	2	2	1	0	1	3	2	1
ENSG00000144712	5587	3172	1039	1194	971	732	1326	884	766	734
ENSG00000272263	510	84	38	44	29	28	33	39	28	46
ENSG00000144713	3714	99828	28043	33746	27969	26215	35693	31877	25683	30741
ENSG00000207496	139	0	0	0	0	0	0	0	0	0
ENSG00000250939	202	0	0	0	0	0	0	0	0	0
ENSG00000232746	635	0	0	0	0	0	0	0	0	0
ENSG00000144711	10181	28214	7954	10448	11385	7604	9007	7207	10151	11318
ENSG00000231362	156	0	2	0	0	1	0	0	0	0
ENSG00000132182	8195	10815	4465	4993	3202	2160	3373	2519	4127	5994
ENSG00000238138	105	0	0	0	0	0	0	0	1	0
ENSG00000223398	466	0	0	0	0	0	1	0	0	0
ENSG00000244502	515	3	1	1	5	4	9	3	0	3
ENSG00000163517	5231	4469	1316	1617	1751	1526	2950	1135	1714	1899
ENSG00000163520	4818	29619	2621	5551	4340	3813	2089	1846	2899	3119
ENSG00000224514	1045	2	0	1	1	1	1	1	0	0
ENSG00000154764	4529	25	21	19	17	1	10	0	10	9
ENSG00000233121	966	9	11	2	0	4	2	7	1	2
ENSG00000275340	3869	0	2	1	2	0	1	0	0	0
ENSG00000180438	3748	2	1	0	0	0	0	0	0	0
ENSG00000287059	3351	0	0	0	0	0	0	0	0	0
ENSG00000224752	765	0	0	0	0	0	0	0	0	0
ENSG00000163528	1772	1168	438	508	370	327	663	492	641	707
ENSG00000170876	3572	9311	3128	3878	3023	3479	3730	5102	4642	5709
ENSG00000268279	1335	54	17	44	11	29	14	24	47	52
ENSG00000228242	4015	17	4	8	13	19	7	14	40	21
ENSG00000154767	4798	5997	2353	2771	2040	1847	2709	2429	2657	3457
ENSG00000170860	3359	4511	1340	1719	1280	1268	1751	2030	2073	2241
ENSG00000255021	613	1	0	0	0	0	0	0	1	0
ENSG00000251576	2284	5	1	5	1	5	1	0	3	3
ENSG00000199609	110	0	0	0	0	0	0	0	0	0
ENSG00000131389	8254	21967	4893	6980	6205	3485	5919	4428	10786	6938
ENSG00000144596	11889	18	5	20	49	8	11	10	25	21
ENSG00000207163	107	0	0	0	0	0	0	0	0	0
ENSG00000234123	1941	1	0	2	0	0	0	0	0	0
ENSG00000283392	1620	0	0	0	0	0	0	0	0	0
ENSG00000235629	446	0	1	0	0	1	1	0	5	3
ENSG00000154781	3556	3612	1371	1670	1051	1059	1316	1491	1690	1966
ENSG00000131379	3452	51	18	20	33	22	18	33	20	28
ENSG00000230172	1147	0	0	0	0	0	0	0	0	0
ENSG00000285969	1201	0	0	0	0	0	0	0	0	0
ENSG00000260902	3830	0	0	0	0	0	0	0	0	0
ENSG00000154783	8099	9	2	1	4	6	3	1	4	2
ENSG00000225733	5162	23447	6625	9252	7793	7618	8442	9732	8940	10534
ENSG00000177463	11821	12692	4553	5656	4056	4162	3669	7400	4742	7480
ENSG00000131368	5371	9252	3051	4244	2045	2299	3553	3001	4362	4810
ENSG00000131381	7921	7685	2558	3224	2596	2328	2487	2644	2630	3100
ENSG00000228874	361	0	0	0	0	0	0	0	0	0
ENSG00000227578	778	0	0	0	0	0	0	0	0	0
ENSG00000230524	4566	1	0	3	1	0	0	0	0	0
ENSG00000131375	5596	9665	3570	4255	2647	2581	4624	3341	4702	4928
ENSG00000224660	6877	1797	769	883	299	494	718	664	942	1074
ENSG00000131370	4616	11002	4237	4716	5279	5241	5221	5434	6937	5591
ENSG00000201162	107	0	0	0	0	0	0	0	0	0
ENSG00000226427	273	0	0	2	0	0	0	0	0	0
ENSG00000206562	5714	2232	803	1045	687	783	840	920	1107	1282
ENSG00000144597	4909	4175	1479	1918	1552	1383	1548	1562	1811	1834
ENSG00000206926	107	1	0	0	0	0	0	0	0	0
ENSG00000249786	4321	28	8	15	2	1	5	16	11	12
ENSG00000206561	4175	544	245	255	131	264	352	312	402	427
ENSG00000263573	70	0	0	0	0	0	0	0	0	0
ENSG00000288077	1222	0	0	0	0	0	0	0	0	0
ENSG00000241064	283	0	0	1	0	0	0	0	0	0
ENSG00000131373	3060	2457	766	919	855	902	1218	903	1246	1059
ENSG00000169814	11797	4169	1163	1435	1334	1611	1797	1196	1934	1791
ENSG00000206560	11276	11559	3578	4070	3605	3858	4861	4562	5009	5780
ENSG00000264354	74	0	0	0	0	1	0	0	0	1
ENSG00000279465	660	2	0	0	1	0	0	0	0	0
ENSG00000270409	1219	5	1	2	2	0	5	3	3	0
ENSG00000263740	295	1	0	0	0	0	0	0	0	0
ENSG00000287042	782	16	7	14	3	10	6	8	7	20
ENSG00000207815	79	3	2	3	2	0	1	0	4	1
ENSG00000224728	1525	31	20	14	8	17	21	4	8	21
ENSG00000286689	1110	113	19	28	8	22	24	7	40	18
ENSG00000131386	6401	137	36	56	76	100	143	18	65	54
ENSG00000285654	722	0	0	0	0	0	0	0	0	0
ENSG00000154813	4476	5983	2233	2991	2110	2073	2617	2232	3028	2914
ENSG00000154814	6095	1280	454	572	437	373	485	358	529	620
ENSG00000270739	1092	0	0	0	0	0	0	0	0	0
ENSG00000131378	4769	21259	6327	7082	6766	6525	5127	9896	6333	7253
ENSG00000271964	549	29	13	13	8	8	7	8	19	12
ENSG00000272498	564	35	6	11	13	5	8	13	10	24
ENSG00000272529	551	7	19	4	6	3	8	3	11	13
ENSG00000287377	1067	6	1	7	2	1	4	4	5	4
ENSG00000288050	1886	0	0	0	0	0	0	0	0	0
ENSG00000233570	3560	0	0	0	0	0	0	0	0	0
ENSG00000269391	758	0	0	0	0	0	0	0	0	0
ENSG00000092345	3631	21	6	11	10	18	84	26	24	21
ENSG00000229271	411	2	1	1	0	2	2	2	4	1
ENSG00000224039	1458	1	0	0	2	4	0	0	1	2
ENSG00000154822	5160	2156	775	733	949	1187	1716	1716	1732	1878
ENSG00000283885	65	0	0	0	0	0	0	0	0	0
ENSG00000226441	311	0	0	0	1	0	2	2	1	0
ENSG00000285731	1360	3	0	0	1	3	0	0	1	1
ENSG00000131374	11269	12815	3922	5571	4332	4343	4047	5193	3051	5576
ENSG00000231780	306	0	0	0	0	0	0	0	0	0
ENSG00000227309	361	2	0	0	0	0	0	0	0	1
ENSG00000271841	63	0	0	0	0	0	0	0	0	0
ENSG00000233133	176	0	0	0	0	0	0	0	0	0
ENSG00000286352	465	4	0	0	0	1	0	0	1	0
ENSG00000213383	870	5	2	3	0	1	0	0	1	1
ENSG00000214286	715	0	0	0	0	0	0	0	0	0
ENSG00000226238	458	0	0	0	0	0	0	0	0	1
ENSG00000274840	339	51	14	15	9	38	16	49	45	49
ENSG00000182568	13419	9247	3287	3632	1794	2505	2147	2694	4117	3548
ENSG00000272477	956	2	0	0	0	1	0	0	0	1
ENSG00000228956	13505	106	25	38	6	31	16	12	81	40
ENSG00000236570	1227	6	0	5	1	1	0	1	3	0
ENSG00000251761	107	0	0	0	0	0	0	0	0	0
ENSG00000183960	6088	136	59	100	27	55	62	6	148	20
ENSG00000271898	84	0	0	0	0	0	0	0	0	0
ENSG00000287069	3279	0	0	0	0	142	174	0	0	0
ENSG00000163576	4163	66	21	34	85	145	111	122	292	172
ENSG00000232953	1928	0	0	1	1	1	3	0	5	4
ENSG00000144566	3767	11892	3373	4447	3515	3273	3886	4046	5071	4949
ENSG00000183977	2494	0	0	5	0	0	5	0	0	0
ENSG00000201545	123	0	2	0	0	0	0	0	0	0
ENSG00000230697	396	0	0	0	0	0	0	0	0	0
ENSG00000229468	155	4	1	0	0	0	1	1	3	1
ENSG00000114166	5211	6416	2288	2616	1545	1397	2224	2704	3916	3770
ENSG00000266745	77	0	0	0	0	0	0	0	0	0
ENSG00000129810	3742	441	224	288	180	206	87	239	197	845
ENSG00000231304	6571	28	14	9	6	10	6	8	13	12
ENSG00000199577	106	0	0	0	0	0	0	0	0	0
ENSG00000261734	2314	1	0	0	1	0	1	0	0	0
ENSG00000206807	113	0	0	0	0	0	0	0	0	0
ENSG00000282987	2118	1	0	0	0	0	0	0	0	2
ENSG00000236380	772	0	0	0	0	0	0	0	0	0
ENSG00000151789	13400	5933	2382	2823	1227	1330	1604	4811	3490	4470
ENSG00000225542	928	0	1	0	0	0	0	1	0	0
ENSG00000223351	648	10	1	3	7	1	2	0	11	0
ENSG00000132967	1111	1520	521	722	517	615	716	687	640	834
ENSG00000234723	418	0	0	0	0	0	0	0	0	0
ENSG00000271235	605	0	0	0	0	0	0	0	0	0
ENSG00000226183	644	0	0	0	0	0	0	0	0	0
ENSG00000231915	1760	0	0	1	0	0	0	0	0	0
ENSG00000215016	453	0	0	1	0	0	0	0	2	0
ENSG00000233153	798	7	1	3	1	1	7	0	2	1
ENSG00000182247	3241	8691	2673	3106	2195	1912	2485	2921	3015	3130
ENSG00000206728	104	1	0	0	0	2	2	0	0	0
ENSG00000228171	249	0	0	0	0	0	0	0	0	0
ENSG00000252562	99	0	0	0	0	0	0	0	0	0
ENSG00000212269	104	0	0	0	0	0	0	0	0	0
ENSG00000223791	778	61	17	14	20	12	13	20	20	16
ENSG00000170142	3346	11652	3680	4191	3851	4188	4629	4646	4727	4637
ENSG00000231395	518	0	0	2	0	0	0	1	1	1
ENSG00000197885	3473	2216	881	963	828	568	1210	911	1201	1245
ENSG00000174748	7222	232575	58780	75464	63055	64455	81712	73088	61242	64892
ENSG00000174738	5793	16430	5154	6799	4805	5529	4830	8817	4684	7038
ENSG00000224074	3446	1	0	0	0	0	0	0	0	0
ENSG00000242109	849	0	0	0	0	0	0	0	0	0
ENSG00000151090	10968	215	41	51	35	136	144	72	147	30
ENSG00000229756	360	0	0	0	0	0	0	0	0	0
ENSG00000224822	1754	0	0	0	0	0	0	0	0	0
ENSG00000228791	7661	4	1	0	0	0	0	2	1	1
ENSG00000272554	809	0	0	0	0	0	0	0	0	0
ENSG00000265028	74	0	0	0	0	0	0	0	0	0
ENSG00000233544	626	0	0	0	0	0	0	0	0	0
ENSG00000237838	584	8	5	4	11	16	10	5	3	2
ENSG00000244404	298	0	0	0	0	0	0	0	0	0
ENSG00000201713	120	0	0	0	0	0	0	0	0	0
ENSG00000077092	3697	205	68	87	132	151	247	90	52	55
ENSG00000213877	486	0	0	0	0	0	0	0	0	0
ENSG00000201962	109	0	0	0	0	0	0	0	0	0
ENSG00000229421	339	0	0	0	0	0	0	0	0	0
ENSG00000272166	64	0	0	0	0	0	0	0	0	0
ENSG00000077097	6044	44190	18277	21134	13312	14945	17075	20306	19346	24548
ENSG00000275227	181	29	15	10	5	13	8	10	8	25
ENSG00000283971	67	4	3	0	7	2	2	4	0	2
ENSG00000238225	228	0	0	1	0	2	0	0	0	0
ENSG00000151092	8273	5253	2179	2272	1612	2132	2932	3318	3437	5527
ENSG00000213872	409	0	0	1	0	0	1	0	0	0
ENSG00000213871	746	0	0	1	0	4	0	0	0	0
ENSG00000151093	2476	1411	518	590	425	388	876	370	522	662
ENSG00000230891	990	0	0	1	0	0	0	0	0	0
ENSG00000234158	701	0	0	0	0	0	0	0	0	0
ENSG00000237603	556	0	0	0	0	0	0	0	0	0
ENSG00000230465	958	0	0	0	0	0	0	0	0	0
ENSG00000225386	5776	2	1	11	1	5	6	0	4	5
ENSG00000179796	8920	134	32	259	180	71	91	22	199	127
ENSG00000163491	9582	140	58	79	90	98	64	68	395	137
ENSG00000224237	203	1	0	0	0	0	0	1	0	0
ENSG00000207251	104	0	0	1	0	0	0	0	0	1
ENSG00000287348	1264	0	0	0	1	0	0	0	1	0
ENSG00000033867	9616	5549	2473	2897	1602	1725	1789	2809	2925	4281
ENSG00000227523	311	0	0	0	0	0	0	0	0	0
ENSG00000230807	371	8	2	0	1	3	1	4	4	1
ENSG00000201033	162	0	0	0	0	0	0	0	0	0
ENSG00000232167	42	0	0	0	0	0	0	0	0	0
ENSG00000238912	102	0	0	0	0	1	0	0	0	0
ENSG00000223968	255	0	0	0	0	0	0	0	0	0
ENSG00000271943	2157	160	37	83	6	27	18	44	52	44
ENSG00000232766	440	0	0	0	0	0	0	0	0	0
ENSG00000272282	1096	2	0	1	0	0	1	1	0	0
ENSG00000163508	3656	43	21	342	280	88	36	0	83	157
ENSG00000225548	4742	298	159	126	116	234	209	255	379	387
ENSG00000229243	2835	3	7	3	1	1	0	1	5	3
ENSG00000235493	2798	49	58	38	22	58	11	31	106	128
ENSG00000187118	10533	810	325	336	266	268	573	355	339	415
ENSG00000163512	6272	8446	2873	3552	2213	2525	3675	2879	3403	3616
ENSG00000206559	4533	222	80	108	54	57	88	59	88	89
ENSG00000283563	3535	8	6	1	0	8	6	1	13	5
ENSG00000234048	482	0	0	0	0	0	0	0	0	0
ENSG00000230480	349	0	0	0	0	0	0	0	1	0
ENSG00000144642	18437	5154	1411	1712	1336	1275	2585	1777	2809	1490
ENSG00000235904	5919	128	35	52	11	33	62	29	29	23
ENSG00000215004	1204	1	1	1	0	0	0	0	0	0
ENSG00000226216	371	0	0	1	0	0	0	0	0	0
ENSG00000203506	2303	2	1	4	0	0	1	15	1	6
ENSG00000227795	174	0	0	0	0	0	0	0	0	0
ENSG00000235593	554	0	0	0	0	0	0	0	0	0
ENSG00000287774	1111	0	0	0	0	0	0	0	0	0
ENSG00000199927	217	0	0	0	0	0	0	0	0	0
ENSG00000281710	216	0	0	0	0	0	0	0	0	0
ENSG00000227260	611	0	0	0	0	0	0	0	0	0
ENSG00000227549	1104	0	0	0	0	0	0	0	0	0
ENSG00000163513	6949	8908	1985	2200	2614	2269	4353	2151	3740	4056
ENSG00000224618	375	0	0	0	0	0	0	0	0	0
ENSG00000261468	1916	22	3	3	3	0	13	7	7	12
ENSG00000144644	7330	33	27	32	4	26	5	73	10	74
ENSG00000265376	84	0	0	0	0	0	0	0	0	0
ENSG00000213854	900	5	2	0	0	2	5	0	1	3
ENSG00000222983	133	0	0	0	0	0	0	0	0	1
ENSG00000230111	400	0	0	0	0	0	0	0	0	0
ENSG00000227339	2786	3	0	2	2	1	3	0	0	2
ENSG00000163527	5006	55360	17273	21848	14472	14185	19582	18386	22636	24766
ENSG00000144645	12093	7100	1727	2192	1863	2415	1935	845	3475	2917
ENSG00000232490	2307	0	0	0	0	0	0	0	0	0
ENSG00000223965	1386	0	0	0	0	0	0	0	0	0
ENSG00000197385	3379	519	132	169	75	184	102	66	388	271
ENSG00000235670	483	3	0	0	1	1	0	0	0	3
ENSG00000201701	128	0	0	0	0	0	0	0	0	0
ENSG00000252398	107	0	0	0	0	0	0	0	0	0
ENSG00000251590	834	0	0	0	0	0	0	0	0	0
ENSG00000152642	4802	3909	1123	1527	1197	1173	1604	1322	2152	1964
ENSG00000236732	472	0	0	0	0	1	0	0	0	0
ENSG00000237433	881	1	1	2	0	0	0	2	0	1
ENSG00000261572	1891	228	60	72	24	46	60	88	88	95
ENSG00000170293	1170	466	162	199	149	128	177	145	196	205
ENSG00000270377	172	0	0	0	0	0	0	0	0	0
ENSG00000234737	1291	1	1	2	0	0	1	0	2	0
ENSG00000153551	3724	736	275	238	183	206	375	193	438	578
ENSG00000091317	3857	16849	5017	6517	4285	5376	5767	6050	7977	7601
ENSG00000276147	107	0	0	0	0	0	0	0	0	0
ENSG00000213849	371	0	1	2	0	0	0	0	0	0
ENSG00000144635	6113	6843	2371	3256	2050	2036	2703	3413	3388	3777
ENSG00000226955	341	0	0	0	0	0	0	0	0	0
ENSG00000231552	1000	6	5	3	3	1	1	4	6	1
ENSG00000237676	333	8	2	4	1	1	3	1	4	0
ENSG00000182973	4846	4203	1696	1993	1223	1364	1923	1779	1959	2417
ENSG00000251224	466	0	0	0	0	2	0	0	1	0
ENSG00000213842	992	13	2	3	0	6	5	0	1	3
ENSG00000227337	471	2	2	0	0	3	2	2	1	0
ENSG00000206557	8704	74	52	65	51	59	51	156	40	94
ENSG00000183813	3025	0	0	0	2	0	0	0	0	0
ENSG00000170266	4335	26054	6035	8220	11250	7946	9209	5952	8570	9416
ENSG00000223899	948	1	1	1	0	0	0	0	0	1
ENSG00000235424	288	1	0	0	0	0	0	0	0	0
ENSG00000188167	4311	410	145	180	98	103	60	146	220	227
ENSG00000275090	299	1	0	0	0	0	0	0	0	0
